"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1479","MMTKia Stinger:MY2018:MileGrpATC1","0.000146539557248246","0.0348392777538497","-0.068021425","0.0684163224999999"
"1480","MMTKia Stinger:MY2018:MileGrpATC2","-0.000178937085421487","0.0346579619922076","-0.068255745","0.0673441149999996"
"1481","MMTKia Stinger:MY2018:MileGrpATC3","0",".",".","."
"1482","MMTKia Stinger:MY2019","0.000168565047947368","0.089969180573982","-0.1763193","0.1782383"
"1483","MMTKia Stinger:MY2019:MileGrpATC1","-0.000811391591381316","0.062161899669454","-0.12182135","0.121546325"
"1484","MMTKia Stinger:MY2019:MileGrpATC2","0.0578201780681053","0.0616238024300055","-0.062542375","0.178644"
"1485","MMTKia Stinger:MY2019:MileGrpATC3","0",".",".","."
"1486","MMTKia Stinger:MY2020","0",".",".","."
"1487","MMTKia Stinger:MY2020:MileGrpATC1","-0.000642739355920614","0.0856215414354657","-0.16856185","0.167933725"
"1488","MMTKia Stinger:MY2020:MileGrpATC2","-0.00102294708356096","0.0828240635778257","-0.1644026","0.162110225"
"1489","MMTKia Stinger:MY2020:MileGrpATC3","0",".",".","."
"1490","MMTKia Telluride","0.0064434692763336","0.00462430178721343","-0.0026806685","0.01549492"
"1491","MMTKia Telluride:MY2020","0",".",".","."
"1492","MMTKia Telluride:MY2020:MileGrpATC1","-0.00635812001799649","0.00877408405217243","-0.0236521925","0.0107697475"
"1493","MMTKia Telluride:MY2020:MileGrpATC2","-0.00644898174075746","0.00751240727655903","-0.021205825","0.00834425549999999"
"1494","MMTKia Telluride:MY2020:MileGrpATC3","0",".",".","."
"1495","MMTLexus ES/Lexus ES Hybrid","0.000106978946885132","0.00877729392870366","-0.0169551875","0.0174870625"
"1496","MMTLexus ES/Lexus ES Hybrid:MY2018","-9.5172638772807e-05","0.0105853696594231","-0.02072685","0.0206003325"
"1497","MMTLexus ES/Lexus ES Hybrid:MY2018:MileGrpATC1","0.0101831702973529","0.00694326694763293","-0.003394616","0.023906525"
"1498","MMTLexus ES/Lexus ES Hybrid:MY2018:MileGrpATC2","-1.3399200228711e-05","0.00703379539416657","-0.013851715","0.01385186"
"1499","MMTLexus ES/Lexus ES Hybrid:MY2018:MileGrpATC3","0",".",".","."
"1500","MMTLexus ES/Lexus ES Hybrid:MY2019","-0.000124679940018728","0.00969430896399345","-0.0193826575","0.01874633"
"1501","MMTLexus ES/Lexus ES Hybrid:MY2019:MileGrpATC1","8.71361655535088e-06","0.00495004509126807","-0.009757113","0.009671482"
"1502","MMTLexus ES/Lexus ES Hybrid:MY2019:MileGrpATC2","-1.16203181625439e-05","0.00527006764141478","-0.010260035","0.0104173725"
"1503","MMTLexus ES/Lexus ES Hybrid:MY2019:MileGrpATC3","0",".",".","."
"1504","MMTLexus ES/Lexus ES Hybrid:MY2020","0",".",".","."
"1505","MMTLexus ES/Lexus ES Hybrid:MY2020:MileGrpATC1","-0.00011327497202807","0.00980956494513134","-0.0195200375","0.018999535"
"1506","MMTLexus ES/Lexus ES Hybrid:MY2020:MileGrpATC2","-9.88801477213158e-05","0.00992852417772244","-0.0196595225","0.01948482"
"1507","MMTLexus ES/Lexus ES Hybrid:MY2020:MileGrpATC3","0",".",".","."
"1508","MMTLexus GS","-1.52667029780702e-09","5.31170953540163e-07","-1.080753e-06","1.08473175e-06"
"1509","MMTLexus GS:MY2018","1.03263099192149e-09","5.84161695004446e-07","-1.20620125e-06","1.18687874999999e-06"
"1510","MMTLexus GS:MY2018:MileGrpATC1","6.31330958578947e-10","2.96227748806436e-07","-6.093497e-07","6.0249805e-07"
"1511","MMTLexus GS:MY2018:MileGrpATC2","-5.08676266526316e-10","3.04946436748035e-07","-6.2073045e-07","6.194799e-07"
"1512","MMTLexus GS:MY2018:MileGrpATC3","0",".",".","."
"1513","MMTLexus GS:MY2019","3.40656718264035e-09","5.93415497210034e-07","-1.19463425e-06","1.2235265e-06"
