"","rn","Estimate","Est.Error","Q2.5","Q97.5"
"1098","MMTHonda Passport:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1099","MMTHonda Passport:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1100","MMTHonda Passport:MY2020:MileGrpATC3","0",".",".","."
"1101","MMTHonda Pilot","-4.09275396719298","1.26872374603857","-7.11533575","-2.15923325"
"1102","MMTHonda Pilot:MY2018","-6.57634199452654","4.51190381881564","-17.1037425","0.258392524999994"
"1103","MMTHonda Pilot:MY2018:MileGrpATC1","5.85862748477741","4.52069215692388","-1.0363715","16.37876"
"1104","MMTHonda Pilot:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1105","MMTHonda Pilot:MY2018:MileGrpATC3","0",".",".","."
"1106","MMTHonda Pilot:MY2019","-6.90844174581798","4.35794107605739","-17.0119075","-0.345758900000002"
"1107","MMTHonda Pilot:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1108","MMTHonda Pilot:MY2019:MileGrpATC2","6.45650166678101","4.29244866788794","0.25530945","16.58307"
"1109","MMTHonda Pilot:MY2019:MileGrpATC3","0",".",".","."
"1110","MMTHonda Pilot:MY2020","0",".",".","."
"1111","MMTHonda Pilot:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1112","MMTHonda Pilot:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1113","MMTHonda Pilot:MY2020:MileGrpATC3","0",".",".","."
"1114","MMTHonda Ridgeline","-6.0343798475","2.93619078729856","-13.02221","-1.804279"
"1115","MMTHonda Ridgeline:MY2018","1.78790926210908","3.02364493662156","-2.82858725","8.92029274999999"
"1116","MMTHonda Ridgeline:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1117","MMTHonda Ridgeline:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1118","MMTHonda Ridgeline:MY2018:MileGrpATC3","0",".",".","."
"1119","MMTHonda Ridgeline:MY2019","1.89921292941846","2.97514973979474","-2.49839075","8.913253"
"1120","MMTHonda Ridgeline:MY2019:MileGrpATC1","-0.816092137814588","0.973269709744106","-2.903984","0.972247074999999"
"1121","MMTHonda Ridgeline:MY2019:MileGrpATC2","0.178790528046158","0.763571121918331","-1.33976225","1.6876235"
"1122","MMTHonda Ridgeline:MY2019:MileGrpATC3","0",".",".","."
"1123","MMTHonda Ridgeline:MY2020","0",".",".","."
"1124","MMTHonda Ridgeline:MY2020:MileGrpATC1","0.97844769015714","3.16931816133824","-4.29867375","8.21281574999996"
"1125","MMTHonda Ridgeline:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1126","MMTHonda Ridgeline:MY2020:MileGrpATC3","0",".",".","."
"1127","MMTHyundai Elantra","-8.90490435833333","4.22957439072451","-18.983705","-3.015238"
"1128","MMTHyundai Elantra:MY2018","4.17492901441342","4.36770210042791","-2.4910015","14.303675"
"1129","MMTHyundai Elantra:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1130","MMTHyundai Elantra:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1131","MMTHyundai Elantra:MY2018:MileGrpATC3","0",".",".","."
"1132","MMTHyundai Elantra:MY2019","-1e+13","0","-1e+13","-1e+13"
"1133","MMTHyundai Elantra:MY2019:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1134","MMTHyundai Elantra:MY2019:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1135","MMTHyundai Elantra:MY2019:MileGrpATC3","0",".",".","."
"1136","MMTHyundai Elantra:MY2020","0",".",".","."
"1137","MMTHyundai Elantra:MY2020:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1138","MMTHyundai Elantra:MY2020:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1139","MMTHyundai Elantra:MY2020:MileGrpATC3","0",".",".","."
"1140","MMTHyundai Elantra GT","-1e+13","0","-1e+13","-1e+13"
"1141","MMTHyundai Elantra GT:MY2018","-1e+13","0","-1e+13","-1e+13"
"1142","MMTHyundai Elantra GT:MY2018:MileGrpATC1","-1e+13","0","-1e+13","-1e+13"
"1143","MMTHyundai Elantra GT:MY2018:MileGrpATC2","-1e+13","0","-1e+13","-1e+13"
"1144","MMTHyundai Elantra GT:MY2018:MileGrpATC3","0",".",".","."
"1145","MMTHyundai Elantra GT:MY2019","-1e+13","0","-1e+13","-1e+13"
