"","MakeName","MMT","MY","cnt","q19_2_mean","y_pred_mean","%_deviation"
"1","Nissan","Nissan Altima","2018",62,0,0.0026,Inf
"2","Nissan","Nissan Altima","2019",111,0.018,0.0234,29.9
"3","Nissan","Nissan Altima","2020",61,0,0.0026,Inf
"4","Nissan","Nissan Armada","2018",22,0,0.0055,Inf
"5","Nissan","Nissan Armada","2019",24,0,0.0038,Inf
"6","Nissan","Nissan Armada","2020",2,0,0.0123,Inf
"7","Nissan","Nissan Frontier","2018",95,0.0105,0.0079,-24.9
"8","Nissan","Nissan Frontier","2019",116,0,9e-04,Inf
"9","Nissan","Nissan Frontier","2020",1,0,0.0209,Inf
"10","Nissan","Nissan Kicks","2018",26,0.0385,0.0314,-18.3
"11","Nissan","Nissan Kicks","2019",35,0,0.0026,Inf
"12","Nissan","Nissan Kicks","2020",9,0,0.0107,Inf
"13","Nissan","Nissan Leaf","2018",94,0.0106,0.0099,-6.5
"14","Nissan","Nissan Leaf","2019",102,0.0098,0.0164,67.2
"15","Nissan","Nissan Leaf","2020",14,0,0.0092,Inf
"16","Nissan","Nissan Maxima","2018",38,0,0.0043,Inf
"17","Nissan","Nissan Maxima","2019",24,0.0417,0.0262,-37.2
"18","Nissan","Nissan Maxima","2020",10,0,0.0083,Inf
"19","Nissan","Nissan Murano","2018",218,0.0046,0.0045,-2.1
"20","Nissan","Nissan Murano","2019",156,0,0.0012,Inf
"21","Nissan","Nissan Murano","2020",68,0,0.002,Inf
"22","Nissan","Nissan Pathfinder","2018",54,0.037,0.045,21.6
"23","Nissan","Nissan Pathfinder","2019",30,0.0333,0.0257,-23
"24","Nissan","Nissan Pathfinder","2020",11,0,0.0087,Inf
"25","Nissan","Nissan Rogue","2018",273,0.0147,0.0112,-23.5
"26","Nissan","Nissan Rogue","2019",237,0.0042,0.0065,53.5
"27","Nissan","Nissan Rogue","2020",90,0,0.0054,Inf
"28","Nissan","Nissan Rogue Sport","2018",72,0.0278,0.0074,-73.4
"29","Nissan","Nissan Rogue Sport","2019",71,0,0.0054,Inf
"30","Nissan","Nissan Rogue Sport","2020",24,0,0.0034,Inf
"31","Nissan","Nissan Sentra","2018",36,0,0.0081,Inf
"32","Nissan","Nissan Sentra","2019",41,0,0.0058,Inf
"33","Nissan","Nissan Sentra","2020",13,0,0.006,Inf
"34","Nissan","Nissan Titan","2018",33,0,0.0105,Inf
"35","Nissan","Nissan Titan","2019",19,0,0.0155,Inf
