"","term","estimate","std.error","statistic","p.value"
"373","`MMTPorsche 911:MY2018`",-1.02255682218964e-12,"0.185953997259057","-5.49897736677902e-12","0.999999999995612"
"374","`MMTPorsche Cayenne:MY2018`",5.99143525981756e-14,"0.129650230234066","4.62122994228458e-13","0.999999999999631"
"375","`MMTPorsche Macan:MY2018`",-1.13778614211578e-13,"0.0614287382385132","-1.85220496911075e-12","0.999999999998522"
"376","`MMTPorsche Panamera:MY2018`",2.257647154826e-13,"0.207902889279531","1.08591427596301e-12","0.999999999999134"
"377","`MMTSubaru Crosstrek/Subaru XV Crosstrek:MY2018`",0.00804195804189151,"0.0283315413084956","0.283851766281421","0.776524635922534"
"378","`MMTSubaru Forester:MY2018`",-0.00427655538962174,"0.012698881189821","-0.336766312377949","0.736293856857853"
"379","`MMTSubaru Impreza:MY2018`",-0.00367647058809886,"0.0486415289113978","-0.0755829569994742","0.939751064363279"
"380","`MMTSubaru Impreza WRX/STi/Subaru WRX/STi:MY2018`",1.60479829901886e-13,"0.178934317290673","8.96864460276737e-13","0.999999999999284"
"381","`MMTSubaru Legacy:MY2018`",0.0306851618327234,"0.0348030795612432","0.881679501342015","0.377952508739803"
"382","`MMTSubaru Outback:MY2018`",0.0897134928619573,"0.0125106208441081","7.17098647460076","7.50304375890211e-13"
"383","`MMTTesla Model 3:MY2018`",0.0265492253864926,"0.0220867086814258","1.20204534634079","0.229349128911439"
"384","`MMTTesla Model S:MY2018`",0.0409090909090521,"0.0481039636184928","0.850430771848607","0.395087901113591"
"385","`MMTTesla Model X:MY2018`",-0.250000000001023,"0.0735047714189164","-3.40113975154389","0.000671347253070011"
"386","`MMTToyota 4Runner:MY2018`",0.0540540540540963,"0.0348239685776067","1.55220832839987","0.120615907536151"
"387","`MMTToyota Avalon/Toyota Avalon Hybrid:MY2018`",-0.0408163265306273,"0.0307940433623755","-1.32546174759555","0.185021420211467"
"388","`MMTToyota C-HR:MY2018`",2.096000950128e-13,"0.127784662034152","1.64026019771279e-12","0.999999999998691"
"389","`MMTToyota Camry/Toyota Camry Hybrid:MY2018`",0.0469613259668107,"0.0225762525570238","2.08012050929154","0.0375173092615952"
"390","`MMTToyota Corolla:MY2018`",-0.0285714285714245,"0.0226357495141407","-1.26222586769551","0.206870800770243"
"391","`MMTToyota Highlander/Toyota Highlander Hybrid:MY2018`",-0.00821787557702662,"0.0295108688769183","-0.278469455145531","0.780652650444155"
"392","`MMTToyota Prius:MY2018`",0.0581395348837938,"0.0391882970569373","1.48359431897033","0.137920086577796"
"393","`MMTToyota Prius C:MY2018`",1.74320508959801e-14,"0.0894671586453364","1.94843014575704e-13","0.999999999999845"
"394","`MMTToyota Prius Prime:MY2018`",0.0243902439024024,"0.0345141324313493","0.706674112435421","0.479770854011619"
