"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.42742656156263e-12,"0.0321667619602307","4.43758238186182e-11","0.999999999964593"
"2","`MMTAcura MDX`",0.0624999999984709,"0.0377188718100004","1.65699547731171","0.0975238823682607"
"3","`MMTAcura RDX`",0.0361445783120049,"0.0333091309845688","1.08512522673587","0.277869108375525"
"4","`MMTAcura TLX`",-1.44133769323478e-12,"0.0399885321916165","-3.60437759087581e-11","0.999999999971241"
"5","`MMTAlfa Romeo Giulia`",-1.38196816867592e-12,"0.0557144660298982","-2.48044765956172e-11","0.999999999980209"
"6","`MMTAlfa Romeo Stelvio`",-1.46275353074289e-12,"0.050860116373789","-2.87603260675339e-11","0.999999999977053"
"7","`MMTAudi A3`",-1.41539785014649e-12,"0.0557144660299504","-2.54044945775056e-11","0.99999999997973"
"8","`MMTAudi A4/Audi Allroad`",-1.43518224070155e-12,"0.0851052526290795","-1.68636153041765e-11","0.999999999986545"
"9","`MMTAudi A5/Audi S5`",-1.41036514015745e-12,"0.0454906710219884","-3.10033927500374e-11","0.999999999975263"
"10","`MMTAudi A6`",-1.59212189663749e-12,"0.0851052526290547","-1.87076807535842e-11","0.999999999985073"
"11","`MMTAudi A7`",-1.43465948734156e-12,"0.0851052526288306","-1.68574728706644e-11","0.99999999998655"
"12","`MMTAudi e-tron`",-1.47837145036055e-12,"0.0643335239201707","-2.29797990266321e-11","0.999999999981665"
"13","`MMTAudi Q3`",-1.47527676603228e-12,"0.037142977353386","-3.97188613071103e-11","0.999999999968309"
"14","`MMTAudi Q5`",-1.42552675597149e-12,"0.0388877189682742","-3.6657505088804e-11","0.999999999970752"
"15","`MMTAudi Q7`",-1.44372235426281e-12,"0.0643335239207707","-2.24412136360012e-11","0.999999999982095"
"16","`MMTAudi Q8`",-1.43503551948383e-12,"0.0643335239204092","-2.23061855162668e-11","0.999999999982202"
"17","`MMTAudi S4`",-1.41076919931607e-12,"0.0643335239205426","-2.19289899471152e-11","0.999999999982503"
"18","`MMTBMW 2 Series`",-1.43654764397163e-12,"0.0393960767399455","-3.64642310312855e-11","0.999999999970906"
"19","`MMTBMW 3 Series/BMW 3 Series Gran Turismo`",-1.46352721801441e-12,"0.0358193901821429","-4.08585185446297e-11","0.9999999999674"
"20","`MMTBMW 4 Series`",-1.42777344929717e-12,"0.0406880930985721","-3.50906946127509e-11","0.999999999972002"
