"","MMT","MY","MileGrpATC","prob"
"111","Audi Q7","2020","2","-1.62851445671193e-14"
"112","Audi Q7","2020","3","-1.62957927001812e-14"
"113","Audi Q8","2019","1","-1.14078755873724e-14"
"114","Audi Q8","2019","2","-1.14967193067131e-14"
"115","Audi Q8","2019","3","-1.16347287721905e-14"
"116","Audi Q8","2020","1","-1.2673783257289e-14"
"117","Audi Q8","2020","2","-7.62019047692685e-15"
"118","Audi Q8","2020","3","-7.60895792120373e-15"
"119","Audi S4","2018","1","1.58505044897223e-14"
"120","Audi S4","2018","2","1.51287389191821e-14"
"121","Audi S4","2018","3","1.49791594991762e-14"
"122","Audi S4","2019","1","1.43080093377327e-14"
"123","Audi S4","2019","2","1.4546045433257e-14"
"124","Audi S4","2019","3","1.42933586781872e-14"
"125","Audi S4","2020","1","1.09447235968902e-14"
"126","Audi S4","2020","2","1.66573622465545e-14"
"127","Audi e-tron","2019","1","-4.73374097574107e-14"
"128","Audi e-tron","2019","2","-4.76107681075901e-14"
"129","Audi e-tron","2019","3","-4.76438096457659e-14"
"130","Audi e-tron","2020","2","-5.09446237419057e-14"
"131","Audi e-tron","2020","3","-5.09448887979245e-14"
"132","BMW 2 Series","2018","1","0.0212765957446788"
"133","BMW 2 Series","2018","2","5.93139127182594e-15"
"134","BMW 2 Series","2018","3","6.03979159509788e-15"
"135","BMW 2 Series","2019","1","-1.00406571997994e-14"
"136","BMW 2 Series","2019","2","-1.05207455711092e-14"
"137","BMW 2 Series","2019","3","-1.05300564147649e-14"
"138","BMW 2 Series","2020","1","-1.23340463945539e-14"
"139","BMW 2 Series","2020","2","-9.11332262850027e-15"
"140","BMW 2 Series","2020","3","-9.12108240899725e-15"
"141","BMW 3 Series/BMW 3 Series Gran Turismo","2018","1","0.0129870129870034"
"142","BMW 3 Series/BMW 3 Series Gran Turismo","2018","2","-2.30807189363819e-14"
"143","BMW 3 Series/BMW 3 Series Gran Turismo","2018","3","-2.34621451642775e-14"
"144","BMW 3 Series/BMW 3 Series Gran Turismo","2019","1","-2.30240245517891e-14"
"145","BMW 3 Series/BMW 3 Series Gran Turismo","2019","2","-2.30499006924967e-14"
"146","BMW 3 Series/BMW 3 Series Gran Turismo","2019","3","-2.31143406066398e-14"
"147","BMW 3 Series/BMW 3 Series Gran Turismo","2020","1","1.20017455357411e-14"
"148","BMW 3 Series/BMW 3 Series Gran Turismo","2020","2","-3.5540520024818e-14"
"149","BMW 3 Series/BMW 3 Series Gran Turismo","2020","3","-3.61006564517826e-14"
"150","BMW 4 Series","2018","1","-1.20597137580553e-17"
"151","BMW 4 Series","2018","2","2.67864929714143e-16"
"152","BMW 4 Series","2018","3","4.44126408182111e-16"
"153","BMW 4 Series","2019","1","-1.415916002354e-16"
"154","BMW 4 Series","2019","2","-6.24997311674046e-16"
"155","BMW 4 Series","2019","3","-3.08276179863452e-16"
"156","BMW 4 Series","2020","1","-2.40980205617844e-15"
"157","BMW 4 Series","2020","2","-3.46243682459165e-16"
"158","BMW 4 Series","2020","3","-3.46887734542775e-16"
"159","BMW 5 Series/BMW 5 Series Gran Turismo","2018","1","1.06758352158565e-13"
"160","BMW 5 Series/BMW 5 Series Gran Turismo","2018","2","0.0136986301370941"
"161","BMW 5 Series/BMW 5 Series Gran Turismo","2018","3","0.0263157894737925"
"162","BMW 5 Series/BMW 5 Series Gran Turismo","2019","1","1.37829046178494e-13"
"163","BMW 5 Series/BMW 5 Series Gran Turismo","2019","2","1.37741949199302e-13"
"164","BMW 5 Series/BMW 5 Series Gran Turismo","2019","3","1.3753264714335e-13"
"165","BMW 5 Series/BMW 5 Series Gran Turismo","2020","1","1.3881126280306e-13"
