"","MMT","MY","MileGrpATC","prob"
"426","Chevrolet Tahoe/GMC Yukon","2020","1","-1.18086399848048e-14"
"427","Chevrolet Tahoe/GMC Yukon","2020","2","-1.09067053889451e-14"
"428","Chevrolet Tahoe/GMC Yukon","2020","3","-1.07778987651374e-14"
"429","Chevrolet Traverse","2018","1","1.19036724921529e-14"
"430","Chevrolet Traverse","2018","2","1.90767540653169e-14"
"431","Chevrolet Traverse","2018","3","0.0116279069767556"
"432","Chevrolet Traverse","2019","1","2.18054378357849e-14"
"433","Chevrolet Traverse","2019","2","2.42512962877803e-14"
"434","Chevrolet Traverse","2019","3","1.9688384665688e-14"
"435","Chevrolet Traverse","2020","1","2.03451703759422e-14"
"436","Chevrolet Traverse","2020","2","2.1857925471324e-14"
"437","Chevrolet Traverse","2020","3","2.19515190744923e-14"
"438","Chevrolet Trax","2018","1","-4.32704064720985e-14"
"439","Chevrolet Trax","2018","2","-4.33516158404306e-14"
"440","Chevrolet Trax","2018","3","-4.3449020436658e-14"
"441","Chevrolet Trax","2019","1","-2.73870261991889e-14"
"442","Chevrolet Trax","2019","2","0.0624999999999704"
"443","Chevrolet Trax","2019","3","-3.99837206142863e-14"
"444","Chevrolet Trax","2020","1","-2.57581575127525e-14"
"445","Chevrolet Trax","2020","2","-2.44126783273522e-14"
"446","Chevrolet Trax","2020","3","-2.38520571406963e-14"
"447","Chevrolet Volt","2018","1","1.61441035379642e-15"
"448","Chevrolet Volt","2018","2","1.44038516979354e-15"
"449","Chevrolet Volt","2018","3","1.65732951515893e-15"
"450","Chevrolet Volt","2019","1","5.90183604229489e-15"
"451","Chevrolet Volt","2019","2","4.86228106523778e-15"
"452","Chevrolet Volt","2019","3","7.37368162020018e-15"
"453","GMC Acadia/Saturn Outlook","2018","1","1.3996167228065e-14"
"454","GMC Acadia/Saturn Outlook","2018","2","1.45776827234001e-14"
"455","GMC Acadia/Saturn Outlook","2018","3","1.45603104210614e-14"
"456","GMC Acadia/Saturn Outlook","2019","1","1.28718407446938e-14"
"457","GMC Acadia/Saturn Outlook","2019","2","1.26677133065315e-14"
"458","GMC Acadia/Saturn Outlook","2019","3","1.26084997973526e-14"
"459","GMC Acadia/Saturn Outlook","2020","1","1.10285513417089e-14"
"460","GMC Acadia/Saturn Outlook","2020","2","1.30912388167618e-14"
"461","GMC Acadia/Saturn Outlook","2020","3","1.3105940057404e-14"
"462","Chrysler 300","2018","1","-8.79996531570208e-15"
"463","Chrysler 300","2018","2","-9.48474199966476e-15"
"464","Chrysler 300","2018","3","-9.6868666919305e-15"
"465","Chrysler 300","2019","1","-8.883130112579e-15"
"466","Chrysler 300","2019","2","-7.83694092836014e-15"
"467","Chrysler 300","2019","3","-9.68713684218264e-15"
"468","Chrysler 300","2020","1","-8.87917133994376e-15"
"469","Chrysler 300","2020","3","-1.03108874227128e-14"
"470","Chrysler Aspen/Dodge Durango","2018","1","4.16048348626335e-14"
"471","Chrysler Aspen/Dodge Durango","2018","2","4.20842355204947e-14"
"472","Chrysler Aspen/Dodge Durango","2018","3","4.20776480977891e-14"
"473","Chrysler Aspen/Dodge Durango","2019","1","4.50208008974101e-14"
"474","Chrysler Aspen/Dodge Durango","2019","2","4.40001488188138e-14"
"475","Chrysler Aspen/Dodge Durango","2019","3","4.86404308970994e-14"
"476","Chrysler Aspen/Dodge Durango","2020","1","4.08575776118784e-14"
"477","Chrysler Aspen/Dodge Durango","2020","2","4.68816289866439e-14"
"478","Chrysler Aspen/Dodge Durango","2020","3","4.68478372661261e-14"
"479","Chrysler Pacifica","2018","1","3.96661870016857e-14"
"480","Chrysler Pacifica","2018","2","3.40873163029443e-14"
"481","Chrysler Pacifica","2018","3","0.013986013986039"
"482","Chrysler Pacifica","2019","1","3.32355670762396e-14"
"483","Chrysler Pacifica","2019","2","3.88265808393129e-14"
"484","Chrysler Pacifica","2019","3","0.0140845070422882"
"485","Chrysler Pacifica","2020","1","0.0250000000000354"
"486","Chrysler Pacifica","2020","2","4.71312202633951e-14"
"487","Chrysler Pacifica","2020","3","4.68713588318383e-14"
"488","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2018","1","0.0833333333333209"
"489","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2018","2","2.22044604925031e-15"
"490","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2018","3","0.0416666666666916"
"491","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2019","1","0.03846153846152"
"492","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2019","2","-3.28050242543268e-14"
"493","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2019","3","-4.09620298175937e-14"
"494","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2020","1","-4.18197585757885e-14"
"495","Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan","2020","3","-3.36003951181943e-14"
"496","Dodge Challenger","2018","1","9.7498008727647e-15"
"497","Dodge Challenger","2018","2","1.02103404177739e-14"
"498","Dodge Challenger","2018","3","1.01967217368958e-14"
"499","Dodge Challenger","2019","1","8.83116605653276e-15"
"500","Dodge Challenger","2019","2","1.24134186408003e-14"
"501","Dodge Challenger","2019","3","2.89994457281118e-15"
"502","Dodge Challenger","2020","1","5.05266348818609e-14"
"503","Dodge Challenger","2020","2","-4.98760302557101e-14"
"504","Dodge Challenger","2020","3","-5.07944799699275e-14"
"505","Dodge Charger","2018","1","-1.91682105150203e-14"
"506","Dodge Charger","2018","2","-1.87152951145956e-14"
"507","Dodge Charger","2018","3","-1.8373290685947e-14"
"508","Dodge Charger","2019","1","-2.44976249427387e-14"
"509","Dodge Charger","2019","2","-2.81225005234731e-14"
"510","Dodge Charger","2019","3","-2.04678080729507e-14"
"511","Dodge Charger","2020","1","-2.19638085824363e-14"
"512","Dodge Charger","2020","2","-2.34407460751314e-14"
"513","Dodge Ram 1500/Ram 1500","2018","1","2.62290189567693e-14"
"514","Dodge Ram 1500/Ram 1500","2018","2","2.56409476984132e-14"
"515","Dodge Ram 1500/Ram 1500","2018","3","0.0153846153846299"
"516","Dodge Ram 1500/Ram 1500","2019","1","0.00800000000002126"
"517","Dodge Ram 1500/Ram 1500","2019","2","0.00540540540542639"
"518","Dodge Ram 1500/Ram 1500","2019","3","0.0217391304347998"
"519","Dodge Ram 1500/Ram 1500","2020","1","1.22098669044046e-14"
"520","Dodge Ram 1500/Ram 1500","2020","2","0.0129870129870258"
"521","Dodge Ram 1500/Ram 1500","2020","3","1.21074161850601e-14"
"522","Dodge Ram 2500/Ram 2500","2018","1","2.2142010447368e-14"
"523","Dodge Ram 2500/Ram 2500","2018","2","2.39669395440956e-14"
"524","Dodge Ram 2500/Ram 2500","2018","3","0.0322580645161348"
"525","Dodge Ram 2500/Ram 2500","2019","1","7.06450190696628e-15"
"526","Dodge Ram 2500/Ram 2500","2019","2","1.05250832285409e-14"
"527","Dodge Ram 2500/Ram 2500","2019","3","4.54625138951944e-15"
"528","Dodge Ram 2500/Ram 2500","2020","1","8.82213759653615e-15"
"529","Dodge Ram 2500/Ram 2500","2020","2","6.09380217812473e-15"
"530","Dodge Ram 2500/Ram 2500","2020","3","5.4736157553029e-15"
"531","Dodge Ram 3500/Ram 3500","2018","1","1.28641497407619e-14"
"532","Dodge Ram 3500/Ram 3500","2018","2","1.29924137766614e-14"
"533","Dodge Ram 3500/Ram 3500","2018","3","1.3203134775708e-14"
"534","Dodge Ram 3500/Ram 3500","2019","1","1.19589311022805e-14"
"535","Dodge Ram 3500/Ram 3500","2019","2","1.51503351727412e-14"
"536","Dodge Ram 3500/Ram 3500","2019","3","4.16584140403724e-15"
"537","Dodge Ram 3500/Ram 3500","2020","1","8.88202730290192e-15"
"538","Dodge Ram 3500/Ram 3500","2020","2","1.39514676649955e-14"
"539","Ram 1500 Classic","2019","1","-2.91294897376924e-14"
"540","Ram 1500 Classic","2019","2","-2.64961547215225e-14"
"541","Ram 1500 Classic","2019","3","-2.48866445508411e-14"
"542","Ram 1500 Classic","2020","1","-2.59551711179816e-14"
"543","Ram 1500 Classic","2020","2","-2.6340709753205e-14"
"544","Ram 1500 Classic","2020","3","-3.5852515660896e-14"
"545","Ford EcoSport","2018","1","0.0416666666666902"
"546","Ford EcoSport","2018","2","4.42146319556969e-14"
"547","Ford EcoSport","2018","3","0.0909090909090943"
"548","Ford EcoSport","2019","1","1.12523385593227e-13"
"549","Ford EcoSport","2019","2","0.111111111111239"
"550","Ford EcoSport","2019","3","1.36050674482687e-13"
"551","Ford EcoSport","2020","1","1.19349804034835e-13"
"552","Ford EcoSport","2020","2","1.1949752488457e-13"
"553","Ford Edge","2018","1","0.00884955752208662"
"554","Ford Edge","2018","2","0.00729927007295511"
"555","Ford Edge","2018","3","0.00900900900897116"
"556","Ford Edge","2019","1","0.00624999999995999"
"557","Ford Edge","2019","2","0.00598802395205656"
"558","Ford Edge","2019","3","0.0181818181817768"
"559","Ford Edge","2020","1","-4.05313736934905e-14"
"560","Ford Edge","2020","2","-4.14886143670479e-14"
"561","Ford Edge","2020","3","-3.98582294645973e-14"
"562","Ford Escape/Mazda Tribute/Mercury Mariner","2018","1","-1.40320116049129e-13"
"563","Ford Escape/Mazda Tribute/Mercury Mariner","2018","2","0.0123456790122088"
"564","Ford Escape/Mazda Tribute/Mercury Mariner","2018","3","-1.2999670784275e-13"
"565","Ford Escape/Mazda Tribute/Mercury Mariner","2019","1","-1.37292168487107e-13"
"566","Ford Escape/Mazda Tribute/Mercury Mariner","2019","2","-1.36677219239384e-13"
"567","Ford Escape/Mazda Tribute/Mercury Mariner","2019","3","-1.38437872276853e-13"
"568","Ford Escape/Mazda Tribute/Mercury Mariner","2020","1","-1.37667655053519e-13"
"569","Ford Escape/Mazda Tribute/Mercury Mariner","2020","2","-1.36082117796477e-13"
"570","Ford Escape/Mazda Tribute/Mercury Mariner","2020","3","0.0285714285712888"
"571","Ford Expedition","2018","1","4.37219704885194e-14"
"572","Ford Expedition","2018","2","3.25711679849405e-14"
"573","Ford Expedition","2018","3","0.0454545454545635"
"574","Ford Expedition","2019","1","4.55165570909257e-14"
"575","Ford Expedition","2019","2","4.54256450190052e-14"
"576","Ford Expedition","2019","3","4.5390007506247e-14"
"577","Ford Expedition","2020","1","4.59026186603901e-14"
"578","Ford Expedition","2020","2","4.50139244382487e-14"
"579","Ford Expedition","2020","3","4.51164876890561e-14"
"580","Ford Explorer/Mercury Mountaineer","2018","1","1.21687382392821e-13"
"581","Ford Explorer/Mercury Mountaineer","2018","2","1.25391017014032e-13"
"582","Ford Explorer/Mercury Mountaineer","2018","3","0.0101010101011284"
"583","Ford Explorer/Mercury Mountaineer","2019","1","1.13752757213703e-13"
"584","Ford Explorer/Mercury Mountaineer","2019","2","1.12330283963402e-13"
"585","Ford Explorer/Mercury Mountaineer","2019","3","0.0208333333334589"
"586","Ford Explorer/Mercury Mountaineer","2020","1","1.25233157177718e-13"
"587","Ford Explorer/Mercury Mountaineer","2020","2","0.0161290322581757"
"588","Ford Explorer/Mercury Mountaineer","2020","3","0.0344827586207948"
"589","Ford F-150","2018","1","0.0224089635853176"
"590","Ford F-150","2018","2","0.0181347150257891"
"591","Ford F-150","2018","3","0.0292397660817552"
"592","Ford F-150","2019","1","-1.21917233253388e-13"
"593","Ford F-150","2019","2","0.0074626865670444"
"594","Ford F-150","2019","3","0.00609756097548983"
"595","Ford F-150","2020","1","0.0116279069766231"
"596","Ford F-150","2020","2","-1.19891520697601e-13"
"597","Ford F-150","2020","3","-1.19716611747991e-13"
"598","Ford F-250","2018","1","-4.26619215972048e-14"
"599","Ford F-250","2018","2","-4.28978774256593e-14"
"600","Ford F-250","2018","3","-4.3117607469491e-14"
"601","Ford F-250","2019","1","-4.60569082871842e-14"
"602","Ford F-250","2019","2","-5.30166188728032e-14"
"603","Ford F-250","2019","3","0.0256410256409825"
"604","Ford F-250","2020","1","-4.85688383574706e-14"
"605","Ford F-250","2020","2","-5.12367503582596e-14"
"606","Ford F-250","2020","3","-5.11958825647623e-14"
"607","Ford F-350","2018","1","3.44169137633799e-14"
"608","Ford F-350","2018","2","3.87190279838023e-14"
"609","Ford F-350","2018","3","0.0909090909091199"
"610","Ford F-350","2019","1","0.0322580645161575"
"611","Ford F-350","2019","2","4.28210023623282e-14"
"612","Ford F-350","2019","3","4.2826091671872e-14"
"613","Ford F-350","2020","1","4.48269648330747e-14"
"614","Ford F-350","2020","2","4.62556757167602e-14"
"615","Ford F-350","2020","3","4.42974477279248e-14"
"616","Ford Flex","2018","1","9.53404022396853e-15"
"617","Ford Flex","2018","2","1.84643966782971e-14"
"618","Ford Flex","2018","3","0.05882352941177"
"619","Ford Flex","2019","1","0.0434782608695612"
"620","Ford Flex","2019","2","-3.85639402954273e-16"
"621","Ford Flex","2019","3","-3.50762934665367e-16"
"622","Ford Focus","2018","1","6.42117093756482e-15"
"623","Ford Focus","2018","2","6.34900710685441e-15"
"624","Ford Focus","2018","3","6.11508651508555e-15"
"625","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2018","1","5.6621374255883e-15"
"626","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2018","2","2.6853519408121e-15"
"627","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2018","3","0.0166666666666632"
"628","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2019","1","6.58614176002601e-15"
"629","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2019","2","6.71330814838663e-15"
"630","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2019","3","6.67487161299075e-15"
"631","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2020","1","6.18407687404892e-15"
"632","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2020","2","7.19351799449626e-15"
"633","Ford Fusion/Ford Fusion Hybrid/Mercury Milan","2020","3","7.02227154522181e-15"
"634","Ford Mustang","2018","1","0.015873015872931"
"635","Ford Mustang","2018","2","0.0416666666665815"
"636","Ford Mustang","2018","3","0.11764705882348"
"637","Ford Mustang","2019","1","0.0256410256409112"
"638","Ford Mustang","2019","2","-1.33938796077006e-13"
"639","Ford Mustang","2019","3","-1.33969095560173e-13"
"640","Ford Mustang","2020","1","-1.26046203625642e-13"
"641","Ford Mustang","2020","2","-1.26926805484833e-13"
"642","Ford Mustang","2020","3","-1.2692405193278e-13"
"643","Ford Ranger/Mazda B-Series","2019","1","0.00588235294119249"
"644","Ford Ranger/Mazda B-Series","2019","2","2.03656536079677e-14"
"645","Ford Ranger/Mazda B-Series","2019","3","0.0370370370370461"
"646","Ford Ranger/Mazda B-Series","2020","1","1.9389937843462e-15"
"647","Ford Ranger/Mazda B-Series","2020","2","1.03377396533293e-15"
"648","Ford Ranger/Mazda B-Series","2020","3","1.01913628053447e-15"
"649","Ford Taurus/Mercury Sable","2018","1","1.00106576733081e-14"
"650","Ford Taurus/Mercury Sable","2018","2","9.59105591718472e-15"
"651","Ford Taurus/Mercury Sable","2018","3","1.00253331012386e-14"
"652","Ford Taurus/Mercury Sable","2019","1","8.69450499049172e-15"
"653","Ford Taurus/Mercury Sable","2019","2","8.33962144911771e-15"
"654","Ford Taurus/Mercury Sable","2019","3","8.49239149263144e-15"
"655","Genesis G70","2019","1","-3.90946276493986e-15"
"656","Genesis G70","2019","2","-4.18058007614152e-15"
"657","Genesis G70","2019","3","-3.87250871000084e-15"
"658","Genesis G70","2020","1","-1.14750584507026e-15"
"659","Genesis G70","2020","2","-4.2738854053007e-15"
"660","Genesis G70","2020","3","-4.27774596005814e-15"
"661","Genesis G80","2018","1","2.34547909376397e-14"
"662","Genesis G80","2018","2","2.32178718171776e-14"
"663","Genesis G80","2018","3","2.31164253569903e-14"
"664","Genesis G80","2019","1","2.67101957361353e-14"
"665","Genesis G80","2019","2","2.70835698657353e-14"
"666","Genesis G80","2019","3","2.71581654195514e-14"
"667","Genesis G80","2020","1","2.43847709261029e-14"
"668","Genesis G80","2020","2","2.65894109757622e-14"
"669","Genesis G80","2020","3","2.65932533807038e-14"
"670","Genesis G90","2018","1","-2.68220552990435e-13"
"671","Genesis G90","2018","2","-2.68194529448521e-13"
"672","Genesis G90","2018","3","-2.68146616022591e-13"
"673","Genesis G90","2019","1","-2.57612639338727e-13"
"674","Genesis G90","2019","2","-2.57837232979208e-13"
"675","Genesis G90","2019","3","-2.57932564196039e-13"
"676","Genesis G90","2020","1","-2.60375054850215e-13"
"677","Genesis G90","2020","2","0.24999999999981"
"678","Honda Accord/Honda Accord Hybrid","2018","1","0.00583090379010515"
"679","Honda Accord/Honda Accord Hybrid","2018","2","0.0107526881720566"
"680","Honda Accord/Honda Accord Hybrid","2018","3","2.49539737197861e-14"
"681","Honda Accord/Honda Accord Hybrid","2019","1","0.00483091787441127"
"682","Honda Accord/Honda Accord Hybrid","2019","2","0.0106382978723576"
"683","Honda Accord/Honda Accord Hybrid","2019","3","0.00840336134455654"
"684","Honda Accord/Honda Accord Hybrid","2020","1","1.42775541589868e-14"
"685","Honda Accord/Honda Accord Hybrid","2020","2","1.58627630629739e-14"
"686","Honda Accord/Honda Accord Hybrid","2020","3","1.58671604925787e-14"
"687","Honda CR-V","2018","1","0.00743494423791611"
"688","Honda CR-V","2018","2","0.00544662309368135"
"689","Honda CR-V","2018","3","0.00613496932515299"
"690","Honda CR-V","2019","1","0.00242718446601058"
"691","Honda CR-V","2019","2","-8.38261751678893e-15"
"692","Honda CR-V","2019","3","0.00341296928326717"
"693","Honda CR-V","2020","1","0.00318471337578724"
"694","Honda CR-V","2020","2","-8.64645553824584e-15"
"695","Honda CR-V","2020","3","-8.62825465792464e-15"
"696","Honda Civic/Honda Civic Hybrid","2018","1","0.00704225352113416"
"697","Honda Civic/Honda Civic Hybrid","2018","2","1.19368505497287e-14"
"698","Honda Civic/Honda Civic Hybrid","2018","3","1.19110146351229e-14"
"699","Honda Civic/Honda Civic Hybrid","2019","1","1.46549439250521e-14"
"700","Honda Civic/Honda Civic Hybrid","2019","2","0.00763358778626731"
"701","Honda Civic/Honda Civic Hybrid","2019","3","0.0158730158730253"
"702","Honda Civic/Honda Civic Hybrid","2020","1","1.46395805602311e-14"
"703","Honda Civic/Honda Civic Hybrid","2020","2","1.63339384601754e-14"
"704","Honda Civic/Honda Civic Hybrid","2020","3","1.50297275517064e-14"
"705","Honda Clarity","2018","1","-2.76656333586306e-16"
"706","Honda Clarity","2018","2","-7.7215482751965e-17"
"707","Honda Clarity","2018","3","-1.12953546815282e-16"
"708","Honda Clarity","2019","1","-1.6090674492468e-15"
"709","Honda Clarity","2019","2","-1.84862534358576e-15"
"710","Honda Clarity","2019","3","-2.08651403619913e-15"
"711","Honda Clarity","2020","1","-2.73975541079716e-15"
"712","Honda Clarity","2020","2","-3.70846613333335e-15"
"713","Honda Clarity","2020","3","-8.80108515313022e-16"
"714","Honda Fit","2018","1","-1.99909533371567e-14"
"715","Honda Fit","2018","2","0.0249999999999847"
"716","Honda Fit","2018","3","0.0344827586206752"
"717","Honda Fit","2019","1","-2.10965610163985e-14"
"718","Honda Fit","2019","2","-2.09676760877039e-14"
"719","Honda Fit","2019","3","-2.1010534661578e-14"
"720","Honda Fit","2020","1","-2.1010656700216e-14"
"721","Honda Fit","2020","2","-2.15895029981365e-14"
"722","Honda Fit","2020","3","-2.24027618254818e-14"
"723","Honda HR-V","2018","1","5.20790597897454e-15"
"724","Honda HR-V","2018","2","5.03044986752762e-15"
"725","Honda HR-V","2018","3","4.95340820973574e-15"
"726","Honda HR-V","2019","1","4.64595410044926e-15"
"727","Honda HR-V","2019","2","4.50316099322251e-15"
"728","Honda HR-V","2019","3","4.37191077164664e-15"
"729","Honda HR-V","2020","1","4.58876730881211e-15"
"730","Honda HR-V","2020","2","5.07163375421049e-15"
"731","Honda HR-V","2020","3","4.64524026944579e-15"
"732","Honda Insight","2019","1","0.0232558139535167"
"733","Honda Insight","2019","2","0.0169491525424031"
"734","Honda Insight","2019","3","3.71703219346949e-14"
"735","Honda Insight","2020","1","4.58652940022943e-14"
"736","Honda Insight","2020","2","4.44208717377931e-14"
"737","Honda Insight","2020","3","4.34928622061355e-14"
"738","Honda Odyssey","2018","1","0.0161290322580747"
"739","Honda Odyssey","2018","2","0.0071942446043221"
"740","Honda Odyssey","2018","3","0.012121212121221"
"741","Honda Odyssey","2019","1","3.24306553833864e-15"
"742","Honda Odyssey","2019","2","0.0155038759689989"
"743","Honda Odyssey","2019","3","0.00632911392406386"
"744","Honda Odyssey","2020","1","0.0243902439024488"
"745","Honda Odyssey","2020","2","9.48383327546239e-15"
"746","Honda Odyssey","2020","3","8.60474541724139e-15"
"747","Honda Passport","2019","1","0.0133333333333238"
"748","Honda Passport","2019","2","-1.47451495458029e-14"
"749","Honda Passport","2019","3","0.0277777777777778"
"750","Honda Passport","2020","1","-1.94257274423934e-14"
"751","Honda Passport","2020","2","-2.23371620384003e-14"
"752","Honda Passport","2020","3","-2.18223198763727e-14"
"753","Honda Pilot","2018","1","0.0166666666665775"
"754","Honda Pilot","2018","2","-1.03951502747288e-13"
"755","Honda Pilot","2018","3","-1.06154668388925e-13"
"756","Honda Pilot","2019","1","-9.72937849677069e-14"
"757","Honda Pilot","2019","2","0.0147058823528474"
"758","Honda Pilot","2019","3","-1.04156266944599e-13"
"759","Honda Pilot","2020","1","-9.96806803765793e-14"
"760","Honda Pilot","2020","2","-9.88410742142065e-14"
"761","Honda Pilot","2020","3","0.0294117647058567"
"762","Honda Ridgeline","2018","1","-2.09277040141842e-14"
"763","Honda Ridgeline","2018","2","-3.89063781192078e-14"
"764","Honda Ridgeline","2018","3","0.0190476190475947"
"765","Honda Ridgeline","2019","1","0.00934579439249969"
"766","Honda Ridgeline","2019","2","0.0216216216215998"
"767","Honda Ridgeline","2019","3","0.0177777777777635"
"768","Honda Ridgeline","2020","1","0.0119047619047373"
"769","Honda Ridgeline","2020","2","-2.17518319500095e-14"
"770","Honda Ridgeline","2020","3","2.69604550190507e-13"
"771","Hyundai Elantra","2018","1","-2.98892854910804e-14"
"772","Hyundai Elantra","2018","2","-2.74918976472804e-14"
"773","Hyundai Elantra","2018","3","0.0178571428571342"
"774","Hyundai Elantra","2019","1","-1.69259390847844e-14"
"775","Hyundai Elantra","2019","2","-2.04360067765471e-14"
"776","Hyundai Elantra","2019","3","-1.78999654655629e-14"
"777","Hyundai Elantra","2020","1","-2.55246089453108e-14"
"778","Hyundai Elantra","2020","2","-2.49100287638626e-14"
"779","Hyundai Elantra","2020","3","-1.45436310672134e-13"
"780","Hyundai Elantra GT","2018","1","4.68626706149812e-15"
"781","Hyundai Elantra GT","2018","2","-6.24754102497052e-15"
"782","Hyundai Elantra GT","2018","3","-7.39820414213867e-14"
"783","Hyundai Elantra GT","2019","1","-1.28741866162462e-14"
"784","Hyundai Elantra GT","2019","2","-2.39524701448233e-14"
"785","Hyundai Elantra GT","2019","3","-1.08135250828978e-13"
"786","Hyundai Elantra GT","2020","1","-2.6084286876459e-14"
"787","Hyundai Elantra GT","2020","2","-2.73882175010627e-14"
"788","Hyundai Elantra GT","2020","3","7.8687681121593e-13"
"789","Hyundai Ioniq","2018","1","7.34551308667619e-14"
"790","Hyundai Ioniq","2018","2","5.62744295606876e-14"
"791","Hyundai Ioniq","2018","3","0.0555555555555883"
"792","Hyundai Ioniq","2019","1","6.52437654724464e-14"
"793","Hyundai Ioniq","2019","2","0.0294117647059529"
"794","Hyundai Ioniq","2019","3","3.42022827189679e-14"
"795","Hyundai Ioniq","2020","1","5.85882764625184e-14"
"796","Hyundai Ioniq","2020","2","6.66387915907045e-14"
"797","Hyundai Ioniq","2020","3","-4.62668616987314e-14"
"798","Hyundai Kona","2018","1","-4.61215797461531e-15"
"799","Hyundai Kona","2018","2","3.71653285305522e-15"
"800","Hyundai Kona","2018","3","4.58910216210601e-14"
"801","Hyundai Kona","2019","1","9.27393256877225e-15"
"802","Hyundai Kona","2019","2","0.0196078431372593"
"803","Hyundai Kona","2019","3","2.49502338652471e-14"
"804","Hyundai Kona","2020","1","2.18778893492271e-15"
"805","Hyundai Kona","2020","2","4.51582847497629e-15"
"806","Hyundai Kona","2020","3","-1.38886398360979e-13"
"807","Hyundai Kona Electric","2019","1","2.93705734822283e-14"
"808","Hyundai Kona Electric","2019","2","2.23830153873027e-14"
"809","Hyundai Kona Electric","2019","3","9.37177592224597e-14"
"810","Hyundai Kona Electric","2020","1","3.41587741491598e-14"
"811","Hyundai Kona Electric","2020","2","2.18204980308579e-14"
"812","Hyundai Kona Electric","2020","3","-1.67398220796415e-13"
"813","Hyundai Palisade","2020","1","0.0116279069767486"
"814","Hyundai Palisade","2020","2","4.9253996802753e-15"
"815","Hyundai Palisade","2020","3","1.45795552972469e-14"
"816","Hyundai Santa Fe","2018","1","4.72399896978004e-14"
"817","Hyundai Santa Fe","2018","2","3.05241942832879e-14"
"818","Hyundai Santa Fe","2018","3","0.0555555555555564"
"819","Hyundai Santa Fe","2019","1","3.33273310263797e-14"
"820","Hyundai Santa Fe","2019","2","3.34001209799283e-14"
"821","Hyundai Santa Fe","2019","3","2.07618739905015e-14"
"822","Hyundai Santa Fe","2020","1","3.60011586363999e-14"
"823","Hyundai Santa Fe","2020","2","0.00862068965521085"
"824","Hyundai Santa Fe","2020","3","3.26378269858124e-14"
"825","Hyundai Santa Fe Sport","2018","1","2.62819092691823e-14"
"826","Hyundai Santa Fe Sport","2018","2","2.67587946103519e-14"
"827","Hyundai Santa Fe Sport","2018","3","3.52279553545466e-14"
"828","Hyundai Santa Fe XL","2019","1","4.65959270805212e-14"
"829","Hyundai Santa Fe XL","2019","2","4.96639976778005e-14"
"830","Hyundai Santa Fe XL","2019","3","-1.12287785567159e-14"
"831","Hyundai Sonata/Hyundai Sonata Hybrid","2018","1","3.51749879223817e-14"
"832","Hyundai Sonata/Hyundai Sonata Hybrid","2018","2","0.0303030303030529"
"833","Hyundai Sonata/Hyundai Sonata Hybrid","2018","3","0.0142857142857259"
"834","Hyundai Sonata/Hyundai Sonata Hybrid","2019","1","3.05431396995831e-14"
"835","Hyundai Sonata/Hyundai Sonata Hybrid","2019","2","2.87988511224025e-14"
"836","Hyundai Sonata/Hyundai Sonata Hybrid","2019","3","2.73614650830333e-14"
"837","Hyundai Sonata/Hyundai Sonata Hybrid","2020","1","3.00374183333129e-14"
"838","Hyundai Sonata/Hyundai Sonata Hybrid","2020","2","3.01862005188472e-14"
"839","Hyundai Sonata/Hyundai Sonata Hybrid","2020","3","-7.60801000010284e-14"
"840","Hyundai Tucson","2018","1","1.30370860694341e-14"
"841","Hyundai Tucson","2018","2","2.04262665444404e-14"
"842","Hyundai Tucson","2018","3","3.26341256372604e-14"
"843","Hyundai Tucson","2019","1","2.31307910342096e-14"
"844","Hyundai Tucson","2019","2","2.27764466083644e-14"
"845","Hyundai Tucson","2019","3","4.75635014603785e-15"
"846","Hyundai Tucson","2020","1","0.0250000000000218"
"847","Hyundai Tucson","2020","2","-3.07206192817813e-15"
"848","Hyundai Tucson","2020","3","-1.02603961740354e-13"
"849","Infiniti Q50","2018","1","-2.82760056382265e-14"
"850","Infiniti Q50","2018","2","-2.51658962177747e-14"
"851","Infiniti Q50","2018","3","-6.06470360374954e-14"
"852","Infiniti Q50","2019","1","-1.21972130967351e-14"
"853","Infiniti Q50","2019","2","0.0454545454545302"
"854","Infiniti Q50","2019","3","-4.94830646552121e-14"
"855","Infiniti Q50","2020","1","-3.65106311233786e-15"
"856","Infiniti Q50","2020","2","1.37427315056827e-14"
"857","Infiniti Q50","2020","3","2.45970722856592e-14"
