"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",4.6587584052433e-12,0.0433033301791148,1.07584298620299e-10,0.99999999991416
"2","`MMTAcura MDX`",-4.76894915458221e-12,0.0507776555809859,-9.39182618814718e-11,0.999999999925064
"3","`MMTAcura RDX`",0.0240963855376191,0.0448412028163564,0.537371524941111,0.591012339770165
"4","`MMTAcura TLX`",-4.72160727929544e-12,0.0538331030960665,-8.77082502725064e-11,0.999999999930019
"5","`MMTAlfa Romeo Giulia`",-4.73975863319206e-12,0.0750035680068947,-6.31937754315416e-11,0.999999999949579
"6","`MMTAlfa Romeo Stelvio`",-5.07956715789252e-12,0.0684685768186842,-7.4188297667469e-11,0.999999999940806
"7","`MMTAudi A3`",-4.68626202402866e-12,0.0750035680069649,-6.24805212412494e-11,0.999999999950148
"8","`MMTAudi A4/Audi Allroad`",-4.63423269517581e-12,0.114569842594986,-4.04489749676817e-11,0.999999999967726
"9","`MMTAudi A5/Audi S5`",-4.7023065926038e-12,0.0612401568354978,-7.67846921952707e-11,0.999999999938735
"10","`MMTAudi A6`",-4.62249274396144e-12,0.114569842594952,-4.03465051471153e-11,0.999999999967808
"11","`MMTAudi A7`",-4.82799076855875e-12,0.114569842594651,-4.21401536322279e-11,0.999999999966377
"12","`MMTAudi e-tron`",-4.06860869166433e-12,0.0866066603578383,-4.69780115623187e-11,0.999999999962517
"13","`MMTAudi Q3`",-4.72664815730682e-12,0.0500023786714254,-9.45284661029123e-11,0.999999999924577
"14","`MMTAudi Q5`",-4.65929708473619e-12,0.0523511734403909,-8.90008146625682e-11,0.999999999928988
"15","`MMTAudi Q7`",-4.66384956279268e-12,0.0866066603586459,-5.38509341369274e-11,0.999999999957033
"16","`MMTAudi Q8`",-4.58110636799546e-12,0.0866066603581593,-5.28955434726432e-11,0.999999999957796
"17","`MMTAudi S4`",-4.6909997019392e-12,0.0866066603583389,-5.41644220263197e-11,0.999999999956783
"18","`MMTBMW 2 Series`",-4.81495445610639e-12,0.0530355315508845,-9.07873328560255e-11,0.999999999927562
"19","`MMTBMW 3 Series/BMW 3 Series Gran Turismo`",-4.74536794074107e-12,0.0482205477128713,-9.84096648797378e-11,0.999999999921481
"20","`MMTBMW 4 Series`",-4.61255454941725e-12,0.0547748614543294,-8.42093330215566e-11,0.999999999932811
