"MMT","MY","MileGrpATC","prob_rate"
"Audi S4",2018,1,0.00987458270459828
"Audi S4",2018,2,0.00939462590181043
"Audi S4",2018,3,0.0114731923730905
"Audi S4",2019,1,0.00953387142222882
"Audi S4",2019,2,0.0117448393345212
"Audi S4",2019,3,0.0108820399295813
"Audi S4",2020,1,0.0169805132485357
"Audi S4",2020,2,0.0176515165977084
"Audi e-tron",2019,1,0.00491023611710727
"Audi e-tron",2019,2,0.00669884504035229
"Audi e-tron",2019,3,0.00774864241897651
"Audi e-tron",2020,2,0.0201118639136203
"Audi e-tron",2020,3,0.0203373854110352
"BMW 2 Series",2018,1,0.0169079822402982
"BMW 2 Series",2018,2,0.00778407981727868
"BMW 2 Series",2018,3,0.0101969098800081
"BMW 2 Series",2019,1,0.00728404929995432
"BMW 2 Series",2019,2,0.00872272589150996
"BMW 2 Series",2019,3,0.00870017558457142
"BMW 2 Series",2020,1,0.00916372433836407
"BMW 2 Series",2020,2,0.00921504745002539
"BMW 2 Series",2020,3,0.00889207607919199
"BMW 3 Series/BMW 3 Series Gran Turismo",2018,1,0.0098425435133295
"BMW 3 Series/BMW 3 Series Gran Turismo",2018,2,0.00400308575725233
"BMW 3 Series/BMW 3 Series Gran Turismo",2018,3,0.00595948214167936
"BMW 3 Series/BMW 3 Series Gran Turismo",2019,1,0.00435819380105332
"BMW 3 Series/BMW 3 Series Gran Turismo",2019,2,0.00440186779438065
"BMW 3 Series/BMW 3 Series Gran Turismo",2019,3,0.00556316645494738
"BMW 3 Series/BMW 3 Series Gran Turismo",2020,1,0.00548948443530203
"BMW 3 Series/BMW 3 Series Gran Turismo",2020,2,0.00417409226329974
"BMW 3 Series/BMW 3 Series Gran Turismo",2020,3,0.00476959934716555
"BMW 4 Series",2018,1,0.00503688272311671
"BMW 4 Series",2018,2,0.00363236096400306
"BMW 4 Series",2018,3,0.00465504913330747
"BMW 4 Series",2019,1,0.00554940945672506
"BMW 4 Series",2019,2,0.00481201553116802
"BMW 4 Series",2019,3,0.00447394984044802
"BMW 4 Series",2020,1,0.00765643303811264
"BMW 4 Series",2020,2,0.00704286248661421
"BMW 4 Series",2020,3,0.00779680269260004
"BMW 5 Series/BMW 5 Series Gran Turismo",2018,1,0.00522618582450921
"BMW 5 Series/BMW 5 Series Gran Turismo",2018,2,0.0111912058740045
"BMW 5 Series/BMW 5 Series Gran Turismo",2018,3,0.0158084040392914
"BMW 5 Series/BMW 5 Series Gran Turismo",2019,1,0.00358569744137822
"BMW 5 Series/BMW 5 Series Gran Turismo",2019,2,0.00301798862282927
"BMW 5 Series/BMW 5 Series Gran Turismo",2019,3,0.00361449546905355
"BMW 5 Series/BMW 5 Series Gran Turismo",2020,1,0.00638695911804538
"BMW 5 Series/BMW 5 Series Gran Turismo",2020,2,0.00568960848540646
"BMW 5 Series/BMW 5 Series Gran Turismo",2020,3,0.0064423390797481
"BMW 7 Series",2018,1,0.0115147973109775
"BMW 7 Series",2018,2,0.00906588253045623
"BMW 7 Series",2018,3,0.0100454206512208
"BMW 7 Series",2019,1,0.0104831721305007
"BMW 7 Series",2019,2,0.00826140199257209
"BMW 7 Series",2019,3,0.00978378947415535
"BMW 7 Series",2020,1,0.0130252084888515
"BMW 7 Series",2020,2,0.0130033339287449
"BMW 7 Series",2020,3,0.0117275135501446
"BMW X1",2018,1,0.0183626176292101
"BMW X1",2018,2,0.00823050207388007
"BMW X1",2018,3,0.00830206066833354
"BMW X1",2019,1,0.00836009833098259
"BMW X1",2019,2,0.00921011974798904
"BMW X1",2019,3,0.0105160151519429
"BMW X1",2020,1,0.00989101445773067
"BMW X1",2020,2,0.00824486969822099
"BMW X1",2020,3,0.0122868230977459
"BMW X2",2018,1,0.00920821136597566
"BMW X2",2018,2,0.010582078785648
"BMW X2",2018,3,0.0119650984595849
"BMW X2",2019,1,0.0101443813273392
"BMW X2",2019,2,0.0130197597454561
"BMW X2",2019,3,0.0133657248468952
"BMW X2",2020,1,0.0149367574613699
"BMW X2",2020,2,0.0126505944726515
"BMW X3",2018,1,0.00268194589365902
"BMW X3",2018,2,0.00201462519997796
"BMW X3",2018,3,0.00288042550060659
"BMW X3",2019,1,0.00218842456642517
"BMW X3",2019,2,0.00961670292168504
"BMW X3",2019,3,0.00269314463304919
"BMW X3",2020,1,0.00916029430920293
"BMW X3",2020,2,0.00888007159964945
"BMW X3",2020,3,0.00490616956067358
"BMW X5",2018,1,0.00494941095118692
"BMW X5",2018,2,0.00391638119965566
"BMW X5",2018,3,0.00445338505018156
"BMW X5",2019,1,0.0227534354768713
"BMW X5",2019,2,0.00396159216395579
"BMW X5",2019,3,0.017897963683158
"BMW X5",2020,1,0.005843194974912
"BMW X5",2020,2,0.00547869362986084
"BMW X5",2020,3,0.0154385742445402
"BMW X7",2019,1,0.0517059295950548
"BMW X7",2019,2,0.0222477307648224
"BMW X7",2019,3,0.0333916489901004
"BMW X7",2020,1,0.0108982829891159
"BMW X7",2020,2,0.00986845605524679
"BMW X7",2020,3,0.0115759980613028
"BMW i3",2018,1,0.0126753005155707
"BMW i3",2018,2,0.012663280383671
"BMW i3",2018,3,0.0152950360238733
"BMW i3",2019,1,0.0150799328806943
"BMW i3",2019,2,0.021011384391959
"BMW i3",2019,3,0.0209635662515387
"BMW i3",2020,1,0.066515717946144
"BMW i3",2020,2,0.0359607211250755
"BMW i3",2020,3,0.0342335313529313
"Buick Enclave",2018,1,0.00619196349233135
"Buick Enclave",2018,2,0.0042504147362456
"Buick Enclave",2018,3,0.0326868714975578
"Buick Enclave",2019,1,0.00646754913102046
"Buick Enclave",2019,2,0.013507013835938
"Buick Enclave",2019,3,0.00530858674007907
"Buick Enclave",2020,1,0.00645340275806239
"Buick Enclave",2020,2,0.00676887261613708
"Buick Enclave",2020,3,0.00694183567813321
"Buick Encore",2018,1,0.00337812390466559
"Buick Encore",2018,2,0.0038031818545718
"Buick Encore",2018,3,0.00470146319278748
"Buick Encore",2019,1,0.00215148714189137
"Buick Encore",2019,2,0.00291708515847895
"Buick Encore",2019,3,0.00380188459187958
"Buick Encore",2020,1,0.00713229008817431
"Buick Encore",2020,2,0.00769192245190863
"Buick Encore",2020,3,0.00830642284882655
"Buick Envision",2018,1,0.00720061856525188
"Buick Envision",2018,2,0.00750290422482313
"Buick Envision",2018,3,0.00818125903275232
"Buick Envision",2019,1,0.00564450709995439
"Buick Envision",2019,2,0.0171485778528078
"Buick Envision",2019,3,0.00663877962095856
"Buick Envision",2020,1,0.00606454069005761
"Buick Envision",2020,2,0.00710087015887306
"Buick Envision",2020,3,0.00742859622821044
"Buick LaCrosse",2018,1,0.00804770101073358
"Buick LaCrosse",2018,2,0.00715263923986563
"Buick LaCrosse",2018,3,0.00811681047346301
"Buick LaCrosse",2019,1,0.00800242689807428
"Buick LaCrosse",2019,2,0.00667165700626109
"Buick LaCrosse",2019,3,0.00874832674599093
"Buick Regal/Buick Regal TourX",2018,1,0.0207640053249184
"Buick Regal/Buick Regal TourX",2018,2,0.0106919046652224
"Buick Regal/Buick Regal TourX",2018,3,0.0116753889319311
"Buick Regal/Buick Regal TourX",2019,1,0.00915368130270133
"Buick Regal/Buick Regal TourX",2019,2,0.00851778231479859
"Buick Regal/Buick Regal TourX",2019,3,0.0109111908613441
"Buick Regal/Buick Regal TourX",2020,1,0.0155125257466588
"Buick Regal/Buick Regal TourX",2020,2,0.0135673620442194
"Buick Regal/Buick Regal TourX",2020,3,0.0157205576455534
"Cadillac CT6",2018,1,0.0524939678785213
"Cadillac CT6",2018,2,0.0529966907396283
"Cadillac CT6",2018,3,0.041980750175993
"Cadillac CT6",2019,1,0.0226224240574632
"Cadillac CT6",2019,2,0.0214294547036949
"Cadillac CT6",2019,3,0.0228845886477387
"Cadillac CT6",2020,1,0.0681852935306162
"Cadillac CT6",2020,2,0.0385684525309946
"Cadillac CT6",2020,3,0.0429743624273789
"Cadillac Escalade",2018,1,0.00800863291140001
"Cadillac Escalade",2018,2,0.00783911826363378
"Cadillac Escalade",2018,3,0.00780657536177313
"Cadillac Escalade",2019,1,0.00901979063256259
"Cadillac Escalade",2019,2,0.00961904149141887
"Cadillac Escalade",2019,3,0.00954347362783109
"Cadillac Escalade",2020,2,0.0160139579968234
"Cadillac Escalade",2020,3,0.0142078933730515
"Cadillac XT4",2019,1,0.00724498189380932
"Cadillac XT4",2019,2,0.00795449469767193
"Cadillac XT4",2019,3,0.0252535265730787
"Cadillac XT4",2020,1,0.0114289391570959
"Cadillac XT4",2020,2,0.0139506299987001
"Cadillac XT4",2020,3,0.012249432187502
"Cadillac XT5",2018,1,0.0191102491337094
"Cadillac XT5",2018,2,0.0168655547352251
"Cadillac XT5",2018,3,0.00992246746382264
"Cadillac XT5",2019,1,0.00640423562992088
"Cadillac XT5",2019,2,0.0147208998143902
"Cadillac XT5",2019,3,0.0150571956110834
"Cadillac XT5",2020,1,0.0101917581499325
